Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1800
12.87, 204.881, 11.3823, 201.025, 3.856, 1595.12
21.837, 239.036, 13.2798, 233.706, 5.33, 1560.96
29.694, 273.858, 15.2143, 266.759, 7.099, 1526.14
34.902, 312.385, 17.3547, 304.445, 7.94, 1487.62
45.744, 338.966, 18.8314, 330.92, 8.046, 1461.03
56.097, 366.545, 20.3636, 357.105, 9.44, 1433.46
62.469, 388.702, 21.5946, 379.039, 9.663, 1411.3
73.065, 419.272, 23.2929, 409.263, 10.009, 1380.73
82.155, 447.216, 24.8453, 435.685, 11.531, 1352.78
89.046, 458.805, 25.4892, 445.676, 13.129, 1341.2
99.045, 475.561, 26.4201, 461.113, 14.448, 1324.44
105.726, 487.364, 27.0758, 472.686, 14.678, 1312.64
114.066, 528.744, 29.3747, 512.057, 16.687, 1271.26
124.845, 545.447, 30.3026, 527.626, 17.821, 1254.55
133.821, 547.428, 30.4127, 528.579, 18.849, 1252.57
146.52, 547.86, 30.4367, 527.802, 20.058, 1252.14
155.841, 551.377, 30.6321, 531.19, 20.187, 1248.62
163.518, 574.745, 31.9303, 553.7, 21.045, 1225.26
173.973, 593.629, 32.9794, 572.152, 21.477, 1206.37
185.106, 595.654, 33.0919, 573.188, 22.466, 1204.35
194.421, 596.915, 33.1619, 574.313, 22.602, 1203.09
208.569, 603.426, 33.5237, 579.476, 23.95, 1196.57
219.48, 603.958, 33.5532, 580.118, 23.84, 1196.04
226.212, 610.069, 33.8927, 586.058, 24.011, 1189.93
236.094, 649.901, 36.1056, 624.496, 25.405, 1150.1
250.044, 655.336, 36.4076, 629.187, 26.149, 1144.66
257.871, 662.327, 36.7959, 635.886, 26.441, 1137.67
271.695, 666.072, 37.004, 638.179, 27.893, 1133.93
280.002, 667.232, 37.0684, 639.289, 27.943, 1132.77
289.344, 676.754, 37.5974, 648.718, 28.036, 1123.25
299.127, 713.773, 39.6541, 684.904, 28.869, 1086.23
310.482, 716.548, 39.8082, 687.722, 28.826, 1083.45
319.893, 746.042, 41.4468, 715.861, 30.181, 1053.96
334.815, 754.844, 41.9358, 723.936, 30.908, 1045.16
344.451, 774.505, 43.0281, 742.813, 31.692, 1025.5
352.467, 784.791, 43.5995, 752.831, 31.96, 1015.21
366.894, 795.669, 44.2038, 763.359, 32.31, 1004.33
379.317, 830.342, 46.1301, 797.415, 32.927, 969.658
390.969, 838.593, 46.5885, 805.425, 33.168, 961.407
401.991, 847.963, 47.1091, 813.814, 34.149, 952.037
415.662, 855.864, 47.548, 821.17, 34.694, 944.136
426.144, 860.467, 47.8037, 825.622, 34.845, 939.533
433.395, 882.861, 49.0478, 847.099, 35.762, 917.139
444.93, 895.069, 49.7261, 858.438, 36.631, 904.931
452.844, 899.798, 49.9888, 863.001, 36.797, 900.202
462.222, 921.22, 51.1789, 884.125, 37.095, 878.78
473.679, 926.032, 51.4462, 889.439, 36.593, 873.968
483.021, 935.843, 51.9913, 899.039, 36.804, 864.157
499.446, 937.924, 52.1069, 900.138, 37.786, 862.076
507.303, 945.833, 52.5463, 907.989, 37.844, 854.167
522.453, 952.16, 52.8978, 914.239, 37.921, 847.84
533.838, 951.721, 52.8734, 913.155, 38.566, 848.279
542.631, 953.375, 52.9653, 914.33, 39.045, 846.625
552.819, 961.049, 53.3916, 921.245, 39.804, 838.951
568.545, 968.009, 53.7783, 928.038, 39.971, 831.991
578.244, 968.443, 53.8024, 928.211, 40.232, 831.557
589.521, 969.407, 53.8559, 928.265, 41.142, 830.593
597.795, 972.024, 54.0013, 930.255, 41.769, 827.976
605.454, 977.834, 54.3241, 936.004, 41.83, 822.166
620.562, 990.312, 55.0173, 946.959, 43.353, 809.688
630.021, 995.706, 55.317, 951.702, 44.004, 804.294
638.88, 1001.23, 55.6241, 957.174, 44.059, 798.767
646.62, 1009.97, 56.1093, 965.547, 44.42, 790.033
658.887, 1010.8, 56.1554, 966.88, 43.917, 789.203
666.969, 1009.96, 56.1088, 966.073, 43.885, 790.042
676.329, 1010.05, 56.114, 966.684, 43.368, 789.948
687.72, 1010.85, 56.1584, 967.586, 43.266, 789.148
699.144, 1019.91, 56.6618, 976.329, 43.584, 780.087
707.541, 1048.58, 58.2543, 1004.52, 44.058, 751.422
717.549, 1069.27, 59.4038, 1024.81, 44.461, 730.731
725.871, 1073.79, 59.655, 1029.56, 44.229, 726.21
737.238, 1087.8, 60.4332, 1042.24, 45.556, 712.203
745.437, 1098.78, 61.0432, 1052.24, 46.539, 701.222
760.704, 1102.77, 61.2649, 1055.08, 47.688, 697.232
773.82, 1107.6, 61.5333, 1059.75, 47.851, 692.401
782.646, 1116.24, 62.0134, 1067.4, 48.845, 683.758
797.721, 1120.07, 62.2263, 1070.03, 50.044, 679.926
808.644, 1135.62, 63.0899, 1084.99, 50.627, 664.382
808.644, 1138.52, 63.2514, 1087.72, 50.805, 661.475
