Goal x, Goal y, Goal z, Planner
11.8483, -7.15561, 0.5187, aep
12.796, -5.99289, 0.5187, aep
11.8579, -4.775, 0.5187, aep
10.6798, -3.91925, 0.5187, aep
11.6495, -2.77482, 0.5187, aep
10.1797, -2.16927, 0.5187, aep
8.77045, -2.68298, 0.5187, aep
8.42146, -1.31465, 0.5187, aep
9.26866, -0.0768035, 0.5187, aep
10.1033, 1.09866, 0.5187, aep
8.86513, 1.94539, 0.5187, aep
6.86614, 1.64129, 0.5187, aep
6.05042, 2.27102, 0.5187, aep
5.48076, 0.827901, 0.5187, aep
6.56314, -0.210577, 0.5187, aep
6.71232, 1.36998, 0.5187, aep
5.31652, 1.91929, 0.5187, aep
4.06131, 2.74055, 0.5187, aep
3.29986, 1.44819, 0.5187, aep
4.77174, 0.871922, 0.5187, aep
5.13867, -0.582506, 0.5187, aep
5.22311, 1.12574, 0.5187, aep
3.72324, 1.10536, 0.5187, aep
2.43454, 0.337739, 0.5187, aep
1.15225, 1.11602, 0.5187, aep
2.20892, -0.0485723, 0.5187, aep
2.91584, -1.37155, 0.5187, aep
3.04576, 0.287596, 0.5187, aep
1.92928, 1.28933, 0.5187, aep
0.580376, 0.63323, 0.5187, aep
-0.753934, 1.31852, 0.5187, aep
-1.34833, -0.106684, 0.5187, aep
-0.367157, -1.24127, 0.5187, aep
-1.7919, -0.745344, 0.5187, aep
-2.61495, 0.508683, 0.5187, aep
-2.70285, 2.00611, 0.5187, aep
-3.42081, 0.308695, 0.5187, aep
-4.83768, 0.801127, 0.5187, aep
-4.67776, -0.787258, 0.5187, aep
-3.17942, -0.71668, 0.5187, aep
-3.71588, -2.03099, 0.5187, aep
-5.21261, -2.13004, 0.5187, aep
-6.13561, -2.28618, 0.5187, aep
-6.63064, -0.870223, 0.5187, aep
-6.76682, 0.623582, 0.5187, aep
-6.37187, 2.07065, 0.5187, aep
-7.95871, 1.98105, 0.5187, aep
-8.78319, 0.727967, 0.5187, aep
-8.12511, 2.11994, 0.5187, aep
-8.43681, 3.5872, 0.5187, aep
-7.43367, 2.26465, 0.5187, aep
-7.97563, 0.865985, 0.5187, aep
-8.63869, -0.479505, 0.5187, aep
-10.0905, -0.856496, 0.5187, aep
-8.47718, -0.494399, 0.5187, aep
-6.97932, -0.574625, 0.5187, aep
-6.30091, -1.91244, 0.5187, aep
-5.91102, -3.36089, 0.5187, aep
-5.03447, -4.57811, 0.5187, aep
-6.49569, -4.26901, 0.5187, aep
-7.71193, -3.39109, 0.5187, aep
-8.91927, -2.50095, 0.5187, aep
-10.2004, -1.72069, 0.5187, aep
-9.87274, -0.274794, 0.5187, aep
-9.61802, 1.20342, 0.5187, aep
-8.88439, 2.51177, 0.5187, aep
-10.1719, 3.28147, 0.5187, aep
-10.2824, 4.77739, 0.5187, aep
-10.8834, 5.79366, 0.5187, aep
-10.7293, 7.21662, 0.5187, aep
-11.4129, 8.5509, 0.5187, aep
-10.763, 9.7388, 0.5187, aep
-10.439, 11.1572, 0.5187, aep
-9.8006, 9.79036, 0.5187, aep
-8.74529, 11.0548, 0.5187, aep
-8.94337, 12.5416, 0.5187, aep
-7.50712, 11.7203, 0.5187, aep
-6.24474, 12.552, 0.5187, aep
